geo,month,measure,value,flag
FI,2025m3,THS_T,6.6900001,
FR,2025m3,THS_T,107.54,
HR,2025m3,THS_T,3.4100001,
HU,2025m3,THS_T,2.03,
IE,2025m3,THS_T,49.939999,
IT,2025m3,THS_T,54.950001,
LT,2025m3,THS_T,3.3599999,
LU,2025m3,THS_T,.81,
LV,2025m3,THS_T,1.16,
MT,2025m3,THS_T,.11,
NL,2025m3,THS_T,31.84,
PL,2025m3,THS_T,57.34,
PT,2025m3,THS_T,7.3699999,
RO,2025m3,THS_T,3.3199999,p
SE,2025m3,THS_T,9.4899998,
SI,2025m3,THS_T,2.6400001,
SK,2025m3,THS_T,.49000001,
DK,2025m3,THS_T,9.1300001,
AT,2025m4,THS_T,17.940001,
BE,2025m4,THS_T,19.950001,
BG,2025m4,THS_T,.68000001,
CY,2025m4,THS_T,.38999999,
CZ,2025m4,THS_T,6.02,
DE,2025m4,THS_T,76.440002,
EE,2025m4,THS_T,.63999999,
EL,2025m4,THS_T,2.6900001,
ES,2025m4,THS_T,56.080002,
FI,2025m4,THS_T,6.46,
FR,2025m4,THS_T,112.64,
HR,2025m4,THS_T,3.6300001,
HU,2025m4,THS_T,2.9100001,
IE,2025m4,THS_T,51.290001,
IT,2025m4,THS_T,55.959999,
LT,2025m4,THS_T,3.4400001,
LU,2025m4,THS_T,.82999998,
LV,2025m4,THS_T,1.25,
MT,2025m4,THS_T,.12,
NL,2025m4,THS_T,33.139999,
PL,2025m4,THS_T,56.740002,
PT,2025m4,THS_T,7.75,
RO,2025m4,THS_T,3.3299999,p
SE,2025m4,THS_T,9.8699999,
SI,2025m4,THS_T,2.6700001,
SK,2025m4,THS_T,.41,
DK,2025m4,THS_T,8.8500004,
AT,2025m5,THS_T,14.91,
BE,2025m5,THS_T,18.85,
BG,2025m5,THS_T,.68000001,
CY,2025m5,THS_T,.43000001,
CZ,2025m5,THS_T,5.3600001,
DE,2025m5,THS_T,73.790001,
EE,2025m5,THS_T,.56999999,
EL,2025m5,THS_T,2.8800001,
ES,2025m5,THS_T,62.080002,
FI,2025m5,THS_T,5.79,
FR,2025m5,THS_T,101.34,
HR,2025m5,THS_T,3.6700001,
HU,2025m5,THS_T,2.55,
IE,2025m5,THS_T,44.099998,
IT,2025m5,THS_T,55.939999,
LT,2025m5,THS_T,3.2,
LU,2025m5,THS_T,.75,
LV,2025m5,THS_T,1.1900001,
MT,2025m5,THS_T,.11,
NL,2025m5,THS_T,31.51,
PL,2025m5,THS_T,51.389999,
PT,2025m5,THS_T,8.1899996,
RO,2025m5,THS_T,3.1700001,p
SE,2025m5,THS_T,10.15,
SI,2025m5,THS_T,2.3399999,
SK,2025m5,THS_T,.56999999,
DK,2025m5,THS_T,9.8000002,
AT,2025m6,THS_T,15.03,
BE,2025m6,THS_T,18.74,
BG,2025m6,THS_T,.60000002,
CY,2025m6,THS_T,.37,
CZ,2025m6,THS_T,5.0500002,
DE,2025m6,THS_T,67.489998,
EE,2025m6,THS_T,.51999998,
EL,2025m6,THS_T,2.79,
ES,2025m6,THS_T,59.720001,
FI,2025m6,THS_T,6.0500002,
FR,2025m6,THS_T,103.72,
HR,2025m6,THS_T,3.45,
HU,2025m6,THS_T,2.49,
IE,2025m6,THS_T,42.709999,
IT,2025m6,THS_T,52.040001,
LT,2025m6,THS_T,2.5,
LU,2025m6,THS_T,.72000003,
LV,2025m6,THS_T,.94,
MT,2025m6,THS_T,.11,
NL,2025m6,THS_T,30.610001,
PL,2025m6,THS_T,50.310001,
PT,2025m6,THS_T,8.5200005,
RO,2025m6,THS_T,3.5899999,p
SE,2025m6,THS_T,9.7700005,
SI,2025m6,THS_T,2.05,
SK,2025m6,THS_T,.5,
DK,2025m6,THS_T,9.3500004,
AT,2025m7,THS_T,16.290001,
BE,2025m7,THS_T,17.299999,
BG,2025m7,THS_T,.49000001,
CY,2025m7,THS_T,.38,
CZ,2025m7,THS_T,5.1500001,
DE,2025m7,THS_T,79.690002,
EE,2025m7,THS_T,.60000002,
EL,2025m7,THS_T,3.0799999,
ES,2025m7,THS_T,65.419998,
FI,2025m7,THS_T,6.3299999,
FR,2025m7,THS_T,106.92,
HR,2025m7,THS_T,3.6300001,
HU,2025m7,THS_T,2.5699999,
IE,2025m7,THS_T,38.610001,
IT,2025m7,THS_T,55.790001,
LT,2025m7,THS_T,3.3599999,
LU,2025m7,THS_T,.69999999,
LV,2025m7,THS_T,1.27,
MT,2025m7,THS_T,.11,
NL,2025m7,THS_T,32.779999,
PL,2025m7,THS_T,53.299999,
PT,2025m7,THS_T,9.1700001,
RO,2025m7,THS_T,3.79,p
SE,2025m7,THS_T,10.68,
SI,2025m7,THS_T,2.1099999,
SK,2025m7,THS_T,.5,
DK,2025m7,THS_T,8.79,
AT,2025m8,THS_T,14.49,
BE,2025m8,THS_T,18.219999,
BG,2025m8,THS_T,.51999998,
CY,2025m8,THS_T,.37,
CZ,2025m8,THS_T,5.02,
DE,2025m8,THS_T,66.809998,
EE,2025m8,THS_T,.49000001,
EL,2025m8,THS_T,3.01,
