geo,month,measure,value,flag
LU,2024m10,THS_HD,2.6500001,
LV,2024m10,THS_HD,6.52,
MT,2024m10,THS_HD,.40000001,
NL,2024m10,THS_HD,197.17999,
PL,2024m10,THS_HD,202.10001,
PT,2024m10,THS_HD,35.48,
RO,2024m10,THS_HD,15.87,p
SE,2024m10,THS_HD,43.43,
SI,2024m10,THS_HD,11.03,
SK,2024m10,THS_HD,2.3299999,
DK,2024m10,THS_HD,40.650002,
AT,2024m11,THS_HD,56.630001,
BE,2024m11,THS_HD,62.990002,
BG,2024m11,THS_HD,3.74,
CY,2024m11,THS_HD,1.85,
CZ,2024m11,THS_HD,21.1,
DE,2024m11,THS_HD,290.19,
EE,2024m11,THS_HD,2.4200001,
EL,2024m11,THS_HD,10.68,
ES,2024m11,THS_HD,192.27,
FI,2024m11,THS_HD,23.700001,
FR,2024m11,THS_HD,320.09,
HR,2024m11,THS_HD,13.4,
HU,2024m11,THS_HD,8.25,
IE,2024m11,THS_HD,174.49001,
IT,2024m11,THS_HD,210.36,
LT,2024m11,THS_HD,13.6,
LU,2024m11,THS_HD,2.29,
LV,2024m11,THS_HD,5.6900001,
MT,2024m11,THS_HD,.34,
NL,2024m11,THS_HD,170.67999,
PL,2024m11,THS_HD,182.95,
PT,2024m11,THS_HD,30.65,
RO,2024m11,THS_HD,17.07,p
SE,2024m11,THS_HD,39.540001,
SI,2024m11,THS_HD,12.56,
SK,2024m11,THS_HD,2.1300001,
DK,2024m11,THS_HD,39.639999,
AT,2024m12,THS_HD,55.139999,
BE,2024m12,THS_HD,70.080002,
BG,2024m12,THS_HD,3.95,p
CY,2024m12,THS_HD,1.79,
CZ,2024m12,THS_HD,18.57,
DE,2024m12,THS_HD,234.74001,
EE,2024m12,THS_HD,2.1500001,
EL,2024m12,THS_HD,11.17,
ES,2024m12,THS_HD,199.85001,
FI,2024m12,THS_HD,20.030001,
FR,2024m12,THS_HD,339.39999,
HR,2024m12,THS_HD,13.6,
HU,2024m12,THS_HD,7.4400001,
IE,2024m12,THS_HD,147.67999,
IT,2024m12,THS_HD,226.03999,
LT,2024m12,THS_HD,10.13,
LU,2024m12,THS_HD,2.1099999,
LV,2024m12,THS_HD,3.97,
MT,2024m12,THS_HD,.43000001,
NL,2024m12,THS_HD,179.52,
PL,2024m12,THS_HD,168.97,
PT,2024m12,THS_HD,32.82,
RO,2024m12,THS_HD,14.16,p
SE,2024m12,THS_HD,31.110001,
SI,2024m12,THS_HD,10.03,
SK,2024m12,THS_HD,1.71,
DK,2024m12,THS_HD,32.32,
AT,2025m1,THS_HD,49.52,
BE,2025m1,THS_HD,64.800003,
BG,2025m1,THS_HD,3.25,
CY,2025m1,THS_HD,2.01,
CZ,2025m1,THS_HD,19.860001,
DE,2025m1,THS_HD,259.84,
EE,2025m1,THS_HD,2.4400001,
EL,2025m1,THS_HD,11.43,
ES,2025m1,THS_HD,195.58,
FI,2025m1,THS_HD,23.07,
FR,2025m1,THS_HD,337.35001,
HR,2025m1,THS_HD,11.8,
HU,2025m1,THS_HD,8.6400003,
IE,2025m1,THS_HD,164.72,
IT,2025m1,THS_HD,219.28,b
LT,2025m1,THS_HD,11.47,
LU,2025m1,THS_HD,2.3499999,
LV,2025m1,THS_HD,5.0500002,
MT,2025m1,THS_HD,.37,
NL,2025m1,THS_HD,158.05,
PL,2025m1,THS_HD,190.00999,
PT,2025m1,THS_HD,30.280001,
RO,2025m1,THS_HD,13.84,p
SE,2025m1,THS_HD,33.779999,
SI,2025m1,THS_HD,7.6999998,
SK,2025m1,THS_HD,2.28,
DK,2025m1,THS_HD,38.220001,
AT,2025m2,THS_HD,45.830002,
BE,2025m2,THS_HD,58.07,
BG,2025m2,THS_HD,3.54,
CY,2025m2,THS_HD,1.75,
CZ,2025m2,THS_HD,17.26,
DE,2025m2,THS_HD,222.42999,
EE,2025m2,THS_HD,2.1600001,
EL,2025m2,THS_HD,11.28,
ES,2025m2,THS_HD,182.37,
FI,2025m2,THS_HD,18.5,
FR,2025m2,THS_HD,300.85001,
HR,2025m2,THS_HD,11.8,
HU,2025m2,THS_HD,7.54,
IE,2025m2,THS_HD,159.50999,
IT,2025m2,THS_HD,194.53999,
LT,2025m2,THS_HD,11.07,
LU,2025m2,THS_HD,2.0799999,
LV,2025m2,THS_HD,4.1900001,
MT,2025m2,THS_HD,.40000001,
NL,2025m2,THS_HD,148.45,
PL,2025m2,THS_HD,161.03999,
PT,2025m2,THS_HD,27.59,
RO,2025m2,THS_HD,13.31,p
SE,2025m2,THS_HD,28.280001,
SI,2025m2,THS_HD,7.3699999,
SK,2025m2,THS_HD,1.86,
DK,2025m2,THS_HD,31.6,
AT,2025m3,THS_HD,50.990002,
BE,2025m3,THS_HD,64.010002,
BG,2025m3,THS_HD,3.22,
CY,2025m3,THS_HD,1.52,
CZ,2025m3,THS_HD,18.34,
DE,2025m3,THS_HD,239.88,
EE,2025m3,THS_HD,2.2,
EL,2025m3,THS_HD,11.09,
ES,2025m3,THS_HD,190.34,
FI,2025m3,THS_HD,19.84,
FR,2025m3,THS_HD,328.04001,
HR,2025m3,THS_HD,12.4,
HU,2025m3,THS_HD,7.0900002,
IE,2025m3,THS_HD,158.37,
IT,2025m3,THS_HD,212.55,
LT,2025m3,THS_HD,11.65,
LU,2025m3,THS_HD,2.21,
LV,2025m3,THS_HD,4.6999998,
MT,2025m3,THS_HD,.38,
NL,2025m3,THS_HD,157.77,
PL,2025m3,THS_HD,185.25999,
PT,2025m3,THS_HD,28.9,
RO,2025m3,THS_HD,13.34,p
SE,2025m3,THS_HD,29.110001,
SI,2025m3,THS_HD,8.6499996,
SK,2025m3,THS_HD,1.59,
DK,2025m3,THS_HD,34.209999,
AT,2025m4,THS_HD,53.259998,
BE,2025m4,THS_HD,66.199997,
BG,2025m4,THS_HD,3.1300001,
CY,2025m4,THS_HD,1.38,
CZ,2025m4,THS_HD,19.139999,
DE,2025m4,THS_HD,227,
EE,2025m4,THS_HD,2.4300001,
EL,2025m4,THS_HD,11.45,
ES,2025m4,THS_HD,188.42,
FI,2025m4,THS_HD,19.370001,
FR,2025m4,THS_HD,338.48999,
HR,2025m4,THS_HD,13.2,
HU,2025m4,THS_HD,9.8100004,
IE,2025m4,THS_HD,159.41,
IT,2025m4,THS_HD,212.14999,
LT,2025m4,THS_HD,12.06,
LU,2025m4,THS_HD,2.3,
LV,2025m4,THS_HD,5.1599998,
MT,2025m4,THS_HD,.40000001,
NL,2025m4,THS_HD,162.67,
PL,2025m4,THS_HD,184.2,
PT,2025m4,THS_HD,30.120001,
RO,2025m4,THS_HD,12.99,p
SE,2025m4,THS_HD,29.879999,
SI,2025m4,THS_HD,8.6000004,
SK,2025m4,THS_HD,1.39,
