panel,x,y,persistence,taxable_share,incremental_pass_through,beta,beta_low,beta_high,pre_price_dkk_kg,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
3,0,.16,0,.75,.16,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.9006195778665144,65.01323932823308,65.01323932823308,65.01323932823308,31.77107048577464,149.767750468714
2,0,.42,0,.5,.42,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.5760842612664,64.33777464483319,64.33777464483319,64.33777464483319,31.09560580237476,149.0922857853141
2,0,.74,0,.5,.74,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.776910365088419,63.13694854101117,63.13694854101117,63.13694854101117,29.89477969855274,147.8914596814921
2,0,.76,0,.5,.76,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.851961996577296,63.0618969095223,63.0618969095223,63.0618969095223,29.81972806706386,147.8164080500032
1,0,.9399999999999999,0,.25,.9399999999999999,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.763713339988591,64.15014556611101,64.15014556611101,64.15014556611101,30.90797672365257,148.9046567065919
4,0,.38,0,1,.38,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.851961996577296,63.0618969095223,63.0618969095223,63.0618969095223,29.81972806706386,147.8164080500032
2,0,1,0,.5,1,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.75258157444381,62.16127733165578,62.16127733165578,62.16127733165578,28.91910848919735,146.9157884721367
1,0,.3,0,.25,.3,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.5628872361665714,65.35097166993302,65.35097166993302,65.35097166993302,32.10880282747458,150.1054828104139
1,0,.34,0,.25,.34,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.6379388676554477,65.27592003844414,65.27592003844414,65.27592003844414,32.03375119598571,150.0304311789251
3,0,.92,0,.75,.92,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.178562572732458,60.73529633336713,60.73529633336713,60.73529633336713,27.4931274909087,145.489807473848
2,0,.64,0,.5,.64,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.401652207644038,63.51220669845555,63.51220669845555,63.51220669845555,30.27003785599712,148.2667178389364
1,0,.98,0,.25,.98,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.838764971477467,64.07509393462212,64.07509393462212,64.07509393462212,30.83292509216369,148.829605075103
1,0,.6,0,.25,.6,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.125774472333143,64.78808443376644,64.78808443376644,64.78808443376644,31.54591559130802,149.5425955742473
2,0,.88,0,.5,.88,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.302271785510553,62.61158712058904,62.61158712058904,62.61158712058904,29.36941827813061,147.3660982610699
3,0,.22,0,.75,.22,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.238351919566457,64.67550698653314,64.67550698653314,64.67550698653314,31.4333381440747,149.430018127014
